Product name / model,Type ,Brand,MPN,Capacity,Readability,Short copy,Long copy,Power,Housing,Calibration,Display,Weighing units,Pan size,Overall Dimensions,Shipping Dimensions,Weight,Shipping Weight,Accessories,Image 1,Image 2,Image 3,Image 4,Data sheet,User manual,PN NO,HSN NO,SKU
CPWplus 300L,Child,Adam Equipment,CPWplus 300L,300kg,100g,,,,,,,,900x600mm,900x600x78mm,102x1092x660mm,14.4kg,16.3kg,,,,,,,,,,
Adam GBK Bench Checkweighing Scale,Parent,Adam Equipment,,,,"•Rugged, high accuracy checkweighing scale with high capacity options
•Checkweighing LEDs clearly show under, over and within acceptable limits
•Audible checkweighing alarm
•Large, grade 304 stainless steel pan 
• Rechargeable battery (up to 120 hours of battery life between charges)
•RS-232 output for connecting to printers and PCs (use Adam's ATP2 printer or AdamDU data capture software)
•Full numeric keypad for easy entering of checkweighing limits
•Memory accumulation so multiple weights can be totalised
•Parts counting with freely selectable sample sizes
•Parts counting optimisation automatically refines piece weight as parts are added
•Selectable digital filtering helps minimise effects of vibration and disturbances
•Sealed keypad
•Capacity tracker to help avoid overloading
•5-year manufacturer's warranty
","Durable and flexible, GBK bench checkweighing scales provide a superb value for anyone that needs a scale to perform multiple functions. GBK is well-suited for use in demanding environments where weighing takes place every day - and thanks to its 5-year warranty, you can trust these checkweighing scales to deliver. GBK fits easily on a cart or table and is ideal for parts counting, batching or routine weighing. For flexible positioning, the pillar mounted display can be used without the pillar. Oversized rubber feet offer stability, while the cast aluminum frame provides even weight distribution and ensures consistent readings regardless of where the object is placed during weighing. Intuitive software helps save time and reduces errors when logging data; use the RS-232 output to send weight data to Adam's ATP2 Thermal Printer, or a PC in conjunction with AdamDU software.","Adaptor, internal rechargeable battery",ABS plastic indicator with mild steel base,External calibration,Backlit LCD with 20mm-high digits,"g, kg, lb, oz, lb:oz.  ",,,,,,"3052010526 In use cover, 1120015779 ATP2 Thermal Printer, 3074010266 RS-232 cable, 3074010507 RS-232 to USB adaptor, 600002028 AdamDU Data collection program, 700660290 Calibration certificate",GBK R.jpg,GBK F.jpg,https://adamequipment777-my.sharepoint.com/:i:/g/personal/d_smith_adamequipment_com/EUHDDNmAZflCgp6dw_8oYxQBUY_52B3E8YxnraTNQR0T1Q?e=cngLWM,https://adamequipment777-my.sharepoint.com/:i:/g/personal/d_smith_adamequipment_com/EcgX-FXXaqRKpRndo3M9P1MBJflg4zTjZPsmJ7uyeOqe_w?e=r48tTC,https://adamequipment.co.uk/media/docs/data_sheets/GBK-DS-A4-EN.pdf,https://adamequipment.co.uk/media/docs/manuals/GK_GBK_GFK_UM_EN.pdf,,,
GBK 8,Child,Adam Equipment,GBK 8,8kg,0.1g,,,,,,,,300x400mm,300x510x680mm,780x400x160mm,7.6kg,9kg,,,,,,,,,,
GBK 16,Child,Adam Equipment,GBK 16,16kg,0.5g,,,,,,,,300x400mm,300x510x680mm,780x400x160mm,7.6kg,9kg,,,,,,,,,,
GBK 32,Child,Adam Equipment,GBK 32,32kg,1g,,,,,,,,300x400mm,300x510x680mm,780x400x160mm,7.6kg,9kg,,,,,,,,,,
GBK 60,Child,Adam Equipment,GBK 60,60kg,2g,,,,,,,,300x400mm,300x510x680mm,780x400x160mm,7.6kg,9kg,,,,,,,,,,
GBK 120,Child,Adam Equipment,GBK 120,120kg,5g,,,,,,,,300x400mm,300x510x680mm,780x400x160mm,7.6kg,9kg,,,,,,,,,,
Adam GFK Floor Checkweighing Scale,Parent,Adam Equipment,,,,"•Rugged, high accuracy checkweighing floor scale with high capacity options
•Checkweighing LEDs clearly show under, over and within acceptable limits
•Audible checkweighing alarm
•Large, grade 304 stainless steel pan 
• Rechargeable battery (up to 120 hours of battery life between charges)
•RS-232 output for connecting to printers and PCs (use Adam's ATP2 printer or AdamDU data capture software)
•Full numeric keypad for easy entering of checkweighing limits
•Memory accumulation so multiple weights can be totalised
•Parts counting with freely selectable sample sizes
•Parts counting optimisation automatically refines piece weight as parts are added
•Selectable digital filtering helps minimise effects of vibration and disturbances
•Sealed keypad
•Capacity tracker to help avoid overloading
•5-year manufacturer's warranty
","Durable and flexible, GBK floor checkweighing scales provide a superb value for anyone that needs a scale to perform multiple functions. GBK is well-suited for use in demanding environments where weighing takes place every day - and thanks to its 5-year warranty, you can trust these checkweighing scales to deliver. GFK models have a large, stainless steel base that can weigh items up to a high capacity (600kg on the largest model). For flexible positioning, the pillar mounted display can be used without the pillar. Oversized rubber feet offer stability, while the cast aluminum frame provides even weight distribution and ensures consistent readings regardless of where the object is placed during weighing. Intuitive software helps save time and reduces errors when logging data; use the RS-232 output to send weight data to Adam's ATP2 Thermal Printer, or a PC in conjunction with AdamDU software.","Adaptor, internal rechargeable battery",ABS plastic indicator with mild steel base,External calibration,Backlit LCD with 20mm-high digits,"g, kg, lb",,,,,,"3052010526 In use cover, 1120015779 ATP2 Thermal Printer, 3074010266 RS-232 cable, 3074010507 RS-232 to USB adaptor, 600002028 AdamDU Data collection program, 700660290 Calibration certificate",GFK150-R copy.jpg,GFK600-F copy.jpg,GFK600-R copy.jpg,https://adamequipment777-my.sharepoint.com/:i:/g/personal/d_smith_adamequipment_com/EcgX-FXXaqRKpRndo3M9P1MBJflg4zTjZPsmJ7uyeOqe_w?e=r48tTC,https://adamequipment.co.uk/media/docs/data_sheets/GBK-DS-A4-EN.pdf,https://adamequipment.co.uk/media/docs/manuals/GK_GBK_GFK_UM_EN.pdf,,,
GFK 75,Child,Adam Equipment,GFK 75,75kg,5g,,,,,,,,400x500mm,400x620x860mm,460x895x210mm,12.5kg,18.1kg,,,,,,,,,,
GFK 75H,Child,Adam Equipment,GFK 75H,75kg,1g,,,,,,,,400x500mm,400x620x860mm,460x895x210mm,12.5kg,18.1kg,,,,,,,,,,
GFK 150,Child,Adam Equipment,GFK 150,150kg,10g,,,,,,,,400x500mm,400x620x860mm,460x895x210mm,12.5kg,18.1kg,,,,,,,,,,
GFK 150H,Child,Adam Equipment,GFK 150H,150kg,2g,,,,,,,,400x500mm,400x620x860mm,460x895x210mm,12.5kg,18.1kg,,,,,,,,,,
GFK 300,Child,Adam Equipment,GFK 300,300kg,20g,,,,,,,,400x500mm,400x620x860mm,460x895x210mm,12.5kg,18.1kg,,,,,,,,,,
GFK 600,Child,Adam Equipment,GFK 600,600kg,50g,,,,,,,,600x800mm,600x940x900mm,660x1168x203mm,25.5kg,34.9kg,,,,,,,,,,
